StrainID	Species	Old ID	StrainInfo doi	Phylum	Family	Growth atm.	Recommended medium for growth	Incubation time	Risk Group	Geographic location	Host disease status	Host age class	Sample material	Date of isolation (JJJJ-MM-DD)	genome_md5	assembly_qual	genome_length	number_contig	N50	number_contig_below_1kb	max_contig_length	coverage	assembly_software	compl_score	compl_software	contam_score	contam_software	trnas	trna_ext_software	adapters_file	plasmid_length	is_compl_grtr_90	is_contam_less_5	is_coverage_grtr_10	are_contigs_less_100	is_N50_grtr_25kb	is_max_contig_grtr_100kb	is_trnas_grtr_18	is_SSU_grtr_0	is_LSU_grtr_0	is_5S_grtr_0	assembly_date	workflow_version	sequencing_technology
CLA-AA-H126	Barnesiella intestinihominis	NA	10.60712/SI-ID414269.1	Bacteroidota	Barnesiellaceae	Anaerobe	mGAM;BHI	1-3 days	1	Germany	Healthy	Adult	feces	2020-02-18	564d7144afa65d1c54dc5c34a464110f	High-quality draft	3148979	18	486648	23	596621	623	SPAdes	99.62	checkm	0	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2024-01-21	v7.1-3-g0a89ce3	Illumina Nextseq
CLA-AA-H13	Alistipes onderdonkii	TC-ERY-DP-K	10.60712/SI-ID414270.1	Bacteroidota	Rikenellaceae	Anaerobe	WCA;BHI;mGAM;YCFA;mGAM Blood agar	1-3 days	1	Germany	Healthy	Adult	feces	2019-07-25	020f7235f5934d4bbdbe782127911d69	High-quality draft	3844937	62	172895	90	413709	561	SPAdes	99.28	checkm	0.48	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2024-01-19	v7.1-1-gcb5a66c	Illumina Nextseq
CLA-AA-H132	Laedolimicola intestinihominis	NA	10.60712/SI-ID414271.1	Bacillota	Lachnospiraceae	Anaerobe	BHI agar; WCA agar; mGAM agar; YCFA agar;  mGAM;  WCA	1-3 days	2	Germany	Healthy	Adult	feces	2020-02-18	fa21110367a6091bbd03e2a50c385195	High-quality draft	3446496	41	172211	121	522469	445	SPAdes	99.37	checkm	0.16	checkm	19	tRNAscan-SE	resources/NexteraPE-PE.fa	5131	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
CLA-AA-H141	Coprococcus ammoniilyticus	FAA-GAMB1-B8	10.60712/SI-ID414100.1	Bacillota	Lachnospiraceae	Anaerobe	mGAM Blood agar	1-3 days	1	Germany	Healthy	Adult	feces	2020-02-18	c3c0c1196cb7ac5c2c10353dc3930560	High-quality draft	2855671	21	383686	83	668919	442	SPAdes	99.33	checkm	0	checkm	19	tRNAscan-SE	resources/NexteraPE-PE.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-15	v6.1-3-g95da734	Illumina MiSeq
CLA-AA-H142	Sakamotonia hominis	FAA-GAMB1-F9	10.60712/SI-ID414272.1	Bacillota	Lachnospiraceae	Anaerobe	mGAM Blood agar	1-3 days	1	Germany	Healthy	Adult	feces	2020-02-18	a6c41b2470999539b9c7adc59210030c	High-quality draft	3583534	99	93681	173	241119	278	SPAdes	99.37	checkm	0.16	checkm	20	tRNAscan-SE	resources/NexteraPE-PE.fa	5504	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
CLA-AA-H143	Ruminococcoides bili	FAA-BHI2-E3	10.60712/SI-ID414101.1	Bacillota	Oscillospiraceae	Anaerobe	BHI	1-3 days	1	Germany	Healthy	Adult	feces	2020-02-18	bc1960536aba396ded3c0591b6d5a45a	Manual review: is_trnas_grtr_18	2451404	43	164015	143	301928	558	SPAdes	98.66	checkm	0.34	checkm	17	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	2022-12-15	v6.1	Illumina Nextseq
CLA-AA-H144	Bacteroides zhangwenhongii	FAA-BHI2-F7	10.60712/SI-ID414102.1	Bacteroidota	Bacteroidaceae	Anaerobe	BHI	1-3 days	1	Germany	Healthy	Adult	feces	2020-02-18	7a766fa29104bfed8d2859ec7120f325	High-quality draft	5115249	60	236805	231	390463	69	SPAdes	94.5	checkm	0.15	checkm	20	tRNAscan-SE	resources/NexteraPE-PE.fa	4148	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
CLA-AA-H145	Hallella faecis	Extra BHI	10.60712/SI-ID414103.1	Bacteroidota	Bacteroidaceae	Anaerobe	BHI;GAM(modified);YCFA	1-3 days	2	Germany	Healthy	Adult	feces	2020-02-18	1daa58648c82b268270699d18a68b3e2	Manual review: are_contigs_less_100, is_trnas_grtr_18	3287725	155	53808	406	165123	886	SPAdes	98.65	checkm	1.35	checkm	18	tRNAscan-SE	resources/NexteraPE-PE.fa	0	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
CLA-AA-H147	Dorea ammoniilytica	FAA-BHI2-C10	10.60712/SI-ID414104.1	Bacillota	Lachnospiraceae	Anaerobe	BHI	1-3 days	2	Germany	Healthy	Adult	feces	2020-02-18	4aee8004dba86031474759ed0b01e599	High-quality draft	2979449	32	263560	57	389857	416	SPAdes	99.22	checkm	1.75	checkm	19	tRNAscan-SE	resources/NexteraPE-PE.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-15	v6.1-3-g95da734	Illumina MiSeq
CLA-AA-H149	Roseburia inulinivorans	FAA-BHI2-H11	10.60712/SI-ID414273.1	Bacillota	Lachnospiraceae	Anaerobe	BHI	1-3 days	1	Germany	Healthy	Adult	feces	2020-02-18	0b20d21d0b97c9d4e8ab94ed54015ab4	Manual review: are_contigs_less_100	3969153	188	66219	422	193105	251	SPAdes	99.52	checkm	1.5	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2024-01-19	v7.1-1-gcb5a66c	Illumina Nextseq
CLA-AA-H15	Enterocloster bolteae	TC-ERY-DP-M	10.60712/SI-ID414105.1	Bacillota	Lachnospiraceae	Anaerobe	WCA	1-3 days	1	Germany	Healthy	Adult	feces	2019-07-25	a252fc5a671347bce7a19a4f284493fb	Manual review: are_contigs_less_100	6531469	144	92325	130	223210	141	SPAdes	99.32	checkm	0.76	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-15	v6.1	Illumina Nextseq
CLA-AA-H153	Coprococcus comes	FAA-GAMB1-F2	10.60712/SI-ID414274.1	Bacillota	Lachnospiraceae	Anaerobe	mGAM Blood agar; WCA agar; BHI agar	1-3 days	1	Germany	Healthy	Adult	feces	2020-02-18	b01ed686e868522cd915020b9df807a6	High-quality draft	3435917	61	129238	97	314517	801	SPAdes	99.42	checkm	0	checkm	19	tRNAscan-SE	resources/TruSeq3-PE-2.fa	10352;9580	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2024-01-19	v7.1-1-gcb5a66c	Illumina Nextseq
CLA-AA-H158	Dorea longicatena	FAA-GAMB2-G9	10.60712/SI-ID414275.1	Bacillota	Lachnospiraceae	Anaerobe	mGAM Blood agar; BHI agar; WCA agar	1-3 days	1	Germany	Healthy	Adult	feces	2020-02-18	66e582b913c5b3123ad89eb06ebafe1c	High-quality draft	3126282	54	142799	86	327073	335	SPAdes	99.42	checkm	0	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2024-01-21	v7.1-3-g0a89ce3	Illumina Nextseq
CLA-AA-H16	Faecalibacterium duncaniae	TC-ERY-DP-N	10.60712/SI-ID414100.1	Bacillota	Oscillospiraceae	Anaerobe	WCA	1-3 days	1	Germany	Healthy	Adult	feces	2019-07-25	226ab1e3f8e2759dce672e62cbdeca67	High-quality draft	2933069	72	228318	1326	416825	650	SPAdes	100	checkm	0.27	checkm	19	tRNAscan-SE	resources/NexteraPE-PE.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
CLA-AA-H161	Blautia acetigignens	FAA-GAMB3-E10	10.60712/SI-ID414109.1	Bacillota	Lachnospiraceae	Anaerobe	mGAM Blood agar	1-3 days	1	Germany	Healthy	Adult	feces	2020-02-18	9669e90242c63b043bb4416484caff54	Manual review: are_contigs_less_100	4216179	214	50437	552	216001	171	SPAdes	99.37	checkm	0	checkm	19	tRNAscan-SE	resources/NexteraPE-PE.fa	1261	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
CLA-AA-H164	Roseburia faecis	FAA-GAMB1-E5	10.60712/SI-ID414276.1	Bacillota	Lachnospiraceae	Anaerobe	mGAM Blood agar; BHI agar	1-3 days	1	Germany	Healthy	Adult	feces	2020-02-18	325666cca1c1089f7741c06161dd23a7	High-quality draft	3685535	68	168604	128	336210	225	SPAdes	99.21	checkm	2.53	checkm	19	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2024-01-21	v7.1-3-g0a89ce3	Illumina Nextseq
CLA-AA-H165	Blautia wexlerae	FAA-GAMB1-H5	10.60712/SI-ID414277.1	Bacillota	Lachnospiraceae	Anaerobe	mGAM Blood agar; YCFA	1-3 days	1	Germany	Healthy	Adult	feces	2020-02-18	0c1c3ff594a92f699daee3a42da2276e	Manual review: are_contigs_less_100	4140334	140	66299	333	169294	449	SPAdes	99.37	checkm	0	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2024-01-19	v7.1-1-gcb5a66c	Illumina Nextseq
CLA-AA-H166	Agathobacter rectalis	FAA-GAMB2-B5	10.60712/SI-ID414278.1	Bacillota	Lachnospiraceae	Anaerobe	BHI; YCFA	1-3 days	1	Germany	Healthy	Adult	feces	2020-02-18	f6feffaabb49a6236dff491cf7d33702	Manual review: are_contigs_less_100	3445390	169	57109	345	160651	232	SPAdes	99.52	checkm	1.21	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	64635;5983	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2024-01-19	v7.1-1-gcb5a66c	Illumina Nextseq
CLA-AA-H167	Collinsella sp003459245	FAA-GMM2-H11	10.60712/SI-ID414111.1	Actinomycetota	Coriobacteriaceae	Anaerobe	GMM	1-3 days	2	Germany	Healthy	Adult	feces	2020-02-18	bac1755a537c056232fc9e735b90165f	High-quality draft	2254792	34	149301	36	469366	259	SPAdes	100	checkm	0.81	checkm	20	tRNAscan-SE	resources/NexteraPE-PE.fa	5085	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
CLA-AA-H168	Bacteroides ovatus	FAA-GAMB2-F6	10.60712/SI-ID414112.1	Bacteroidota	Bacteroidaceae	Anaerobe	mGAM Blood agar	1-3 days	2	Germany	Healthy	Adult	feces	2020-02-18	a0a62a04aca9632762d6f28a5c069f77	High-quality draft	6770775	33	560218	39	1005808	62	SPAdes	99.46	checkm	0	checkm	20	tRNAscan-SE	resources/NexteraPE-PE.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
CLA-AA-H169	Gemmiger formicilis	H2-BHI-1w-1	10.60712/SI-ID414113.1	Bacillota	Oscillospiraceae	Anaerobe	BHI	1-3 days	1	Germany	Healthy	Adult	feces	2020-06-04	f0cce22c431f6e19c5cf3d243a5d0e75	Manual review: are_contigs_less_100	3574426	144	55953	179	206355	368	SPAdes	97.28	checkm	0	checkm	19	tRNAscan-SE	resources/TruSeq3-PE-2.fa	39068;1310	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-15	v6.1	Illumina Nextseq
CLA-AA-H171	Ruminococcoides intestinihominis	H2-GB1-B10	10.60712/SI-ID414279.1	Bacillota	Oscillospiraceae	Anaerobe	BHI	1-3 days	1	Germany	Healthy	Adult	feces	2020-06-04	40591613c147a7e58cf4a46756b71221	Manual review: are_contigs_less_100	2259502	104	51194	143	177900	363	SPAdes	98.66	checkm	0	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	1825	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-15	v6.1	Illumina Nextseq
CLA-AA-H173	Sutterella wadsworthensis	H2-YCFA-1w-1	10.60712/SI-ID414114.1	Pseudomonadota	Burkholderiaceae	Anaerobe	BHI; YCFA	1-3 days	2	Germany	Healthy	Adult	feces	2020-06-04	658db4dcf565a330b7c8ca6071a8419f	Manual review: are_contigs_less_100	3034395	322	75098	1131	175513	943	SPAdes	100	checkm	0.21	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-15	v6.1	Illumina Nextseq
CLA-AA-H174	Segatella sinensis	H2-YCFA-10 or H2-YCFA-1w-10	10.60712/SI-ID414280.1	Bacteroidota	Bacteroidaceae	Anaerobe	YCFA	1-3 days	2	Germany	Healthy	Adult	feces	2020-06-04	85ce449421ab345e6fef0a45543cce73	Manual review: are_contigs_less_100	3641644	143	59836	292	181912	309	SPAdes	98.65	checkm	2.36	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2024-01-19	v7.1-1-gcb5a66c	Illumina Nextseq
CLA-AA-H175	Faecalibacterium tardum	H2-YCFA1-H9	10.60712/SI-ID414281.1	Bacillota	Oscillospiraceae	Anaerobe	YCFA	1-3 days	1	Germany	Healthy	Adult	feces	2020-06-04	c2b0d09a4d5d39d2e2baac89f92204bc	Manual review: are_contigs_less_100	3030794	111	107947	650	431243	416	SPAdes	97.96	checkm	0	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	14735	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-15	v6.1	Illumina Nextseq
CLA-AA-H176	Gallintestinimicrobium propionicum	H2-YCFA2-B9	10.60712/SI-ID414115.1	Bacillota	Lachnospiraceae	Anaerobe	YCFA	1-3 days	1	Germany	Healthy	Adult	feces	2020-06-04	db1edd52a4a21bc24ba798ca98161997	High-quality draft	3646624	96	94697	226	198959	468	SPAdes	98.08	checkm	1.34	checkm	19	tRNAscan-SE	resources/NexteraPE-PE.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-16	v6.1-3-g95da734	Illumina MiSeq
CLA-AA-H177	Clostridium symbiosum	H2-YCFA5-E6	10.60712/SI-ID414116.1	Bacillota	Lachnospiraceae	Anaerobe	YCFA	1-3 days	2	Germany	Healthy	Adult	feces	2020-06-04	12dfd5b47ae30c537756a5d15848dc8a	Manual review: are_contigs_less_100	5046588	204	45133	497	230877	130	SPAdes	99.37	checkm	0.63	checkm	19	tRNAscan-SE	resources/TruSeq3-PE-2.fa	3649	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-15	v6.1	Illumina Nextseq
CLA-AA-H178	Mediterraneibacter faecis	H2-YCFA5-A11	10.60712/SI-ID414117.1	Bacillota	Lachnospiraceae	Anaerobe	YCFA	1-3 days	1	Germany	Healthy	Adult	feces	2020-06-04	e8ca8a8bd724e9099c5ed7402ad0978c	High-quality draft	3125344	60	106267	190	317734	313	SPAdes	99.12	checkm	0	checkm	19	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-15	v6.1	Illumina Nextseq
CLA-AA-H179	Anaerobutyricum soehngenii	H2-GAMB-1w-6	10.60712/SI-ID414282.1	Bacillota	Lachnospiraceae	Anaerobe	mGAM Blood agar	1-3 days	1	Germany	Healthy	Adult	feces	2020-06-04	11789017b76d709627573616e1244c67	Manual review: are_contigs_less_100, is_trnas_grtr_18	3727438	110	76126	211	329304	322	SPAdes	99.33	checkm	2.6	checkm	16	tRNAscan-SE	resources/TruSeq3-PE-2.fa	32138;4724	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	2024-01-19	v7.1-1-gcb5a66c	Illumina Nextseq
CLA-AA-H180	Adlercreutzia hattorii	H2-GAMB3-G6	10.60712/SI-ID414118.1	Actinomycetota	Eggerthellaceae	Anaerobe	mGAM Blood agar	1-3 days	1	Germany	Healthy	Adult	feces	2020-06-04	1535a5676e4839ddeb02429af8c877ed	High-quality draft	2687844	95	68918	39	178998	264	SPAdes	100	checkm	0.81	checkm	20	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-15	v6.1	Illumina Nextseq
CLA-AA-H181	Coprococcus aceti	H2-BHI4-F6	10.60712/SI-ID414119.1	Bacillota	Lachnospiraceae	Anaerobe	BHI	1-3 days	1	Germany	Healthy	Adult	feces	2020-06-04	40d510a02e2f228c8990d9c02b8be730	Manual review: is_trnas_grtr_18	3205794	39	274290	134	624766	557	SPAdes	99.33	checkm	0	checkm	18	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	2022-12-15	v6.1	Illumina Nextseq
CLA-AA-H182	Mediterraneibacter torques	H2-GAMB4-F10	10.60712/SI-ID414120.1	Bacillota	Lachnospiraceae	Anaerobe	mGAM Blood agar	1-3 days	1	Germany	Healthy	Adult	feces	2020-06-04	4ebf37beaaf2a2df0d6bc2a455a7314d	High-quality draft	2798347	75	98687	127	187046	323	SPAdes	99.42	checkm	0	checkm	19	tRNAscan-SE	resources/TruSeq3-PE-2.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-15	v6.1	Illumina Nextseq
CLA-AA-H183	Waltera hominis	H2-Clx-2	10.60712/SI-ID414283.1	Bacillota	Lachnospiraceae	Anaerobe	YCFA; BHI agar; mGAM Blood agar	1-3 days	1	Germany	Healthy	Adult	feces	2020-06-04	13209aba0c6cb5c820566d455ec28640	Manual review: are_contigs_less_100	3875389	137	73942	513	202359	387	SPAdes	99.52	checkm	2.13	checkm	20	tRNAscan-SE	resources/NexteraPE-PE.fa	0	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-15	v6.1-3-g95da734	Illumina MiSeq
CLA-AA-H184	Coprococcus hominis	H2-Clx-7	10.60712/SI-ID414121.1	Bacillota	Lachnospiraceae	Anaerobe	mGAM Blood agar	1-3 days	1	Germany	Healthy	Adult	feces	2020-06-04	f6f72ba6a3581ea23e17d40b3af67b2d	High-quality draft	2844879	16	479426	54	1015136	434	SPAdes	98.66	checkm	0	checkm	20	tRNAscan-SE	resources/NexteraPE-PE.fa	0	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	2022-12-15	v6.1-3-g95da734	Illumina MiSeq
